classe;cote_range;description
BH;BH301.C84;Creation
BH;BH301.C88;Cruelty
BH;BH301.C92;Culture
BH;BH301.D5;Dilettantism
BH;BH301.E45;Emotivism
BH;BH301.E58;Environment
BH;BH301.E77;Espionage
BH;BH301.E8;Experience
BH;BH301.E9;Expressionism
BH;BH301.F3;Fantastic
BH;BH301.F46;Feminist aesthetics
BH;BH301.F6;Form
BH;BH301.G53;Glamour
BH;BH301.G7;Grace
BH;BH301.G73;Grief
BH;BH301.G74;Grotesque
BH;BH301.H3;Harmony
BH;BH301.H36;Head
BH;BH301.H4;The heroic
BH;BH301.I3;Ideals
BH;BH301.I52;Image
BH;BH301.I53;Imagination
BH;BH301.I55;Imitation
BH;BH301.I65;Influence
BH;BH301.I7;Irony
BH;BH301.J8;Judgment
BH;BH301.K5;Kitsch
BH;BH301.L3;Landscape
BH;BH301.L65;Love. Eros
BH;BH301.M25;Machinery
BH;BH301.M3;Man
BH;BH301.M35;Mathematics
BH;BH301.M4;Metaphor
BH;BH301.M47;Mimesis
BH;BH301.M54;Modernism
BH;BH301.M6;Movement
BH;BH301.M9;Myth
BH;BH301.N3;Nature
BH;BH301.N48;New and old
BH;BH301.N67;Nostalgia
BH;BH301.O24;Object, Aesthetic
BH;BH301.O35;Odors
BH;BH301.O75;Originality
BH;BH301.P3;Particularity
BH;BH301.P45;Physiological aspects of aesthetics
BH;BH301.P53;The picturesque
BH;BH301.P54;Plainness
BH;BH301.P64;Politics
BH;BH301.P67;Positivism
BH;BH301.P69;Postmodernism
BH;BH301.P78;Psychological aspects of aesthetics
BH;BH301.Q34;Quality
BH;BH301.R42;Realism
BH;BH301.R43;Relativity
BH;BH301.R46;Repetition
BH;BH301.R47;Representation
BH;BH301.R5;Rhythm
BH;BH301.R85;Ruins, Modern
BH;BH301.S4;Sea. Ocean
BH;BH301.S43;Seduction
BH;BH301.S46;Senses and sensation
BH;BH301.S5;Situation
BH;BH301.S65;Space
BH;BH301.S66;Sprezzatura
BH;BH301.S68;Structuralism
BH;BH301.S69;Subjectivity
BH;BH301.S7;The sublime
BH;BH301.S75;Surrealism
BH;BH301.S8;Symbolism
BH;BH301.S9;Symmetry
BH;BH301.T7;The tragic
BH;BH301.T77;Truth
BH;BH301.U5;Ugliness
BH;BH301.V57;Virtual reality
BH;BH301.V85;Vulgarity
BH;BH301.W37;War
BH;BH301.W43;Wealth
BH;BH301.W56;Wine
BH;BH301.W65;Wonder
C;C1;Periodicals. Serials
C;C2;Societies
C;C3;Congresses
C;C5;Several authors
C;C7;Individual authors
C;C8;Dictionaries. Encyclopedias
C;C20;Study and teaching
C;C40;General works
C;C45;General special
C;C50;Addresses, essays, lectures
C;C51.A-Z;By region or country, A-Z
CC;CC1.A1-.A5;Polyglot
CC;CC1.A6-Z;American. English
CC;CC3;French
CC;CC5;German
CC;CC9;Italian
CC;CC13.A-Z;Other. By language, A-Z
CC;CC20;International
CC;CC21;American (United States)
CC;CC22;Dutch
CC;CC23;English
CC;CC25;French and Belgian
CC;CC27;German, Austrian, and Swiss
CC;CC29;Greek
CC;CC31;Italian
CC;CC33;Scandinavian
CC;CC35;Slavic
CC;CC37;Spanish and Portuguese
CC;CC39.A-Z;Other. By language, A-Z
CC;CC51;Congresses
CC;CC55;Museums and collections
CC;CC65;Several authors
CC;CC67;Individual authors
CC;CC70;Dictionaries. Encyclopedias
CC;CC72;General works
CC;CC72.4;Social archaeology
CC;CC72.7;Classification
CC;CC73;Through 1800
CC;CC75;1801-
CC;CC75.5;Amateurs' manuals
CC;CC75.7;General special
CC;CC76;General works
CC;CC76.3;General works
CC;CC76.4;Aerial photography. Remote sensing
CC;CC77.A-Z;Special types of archaeology and archaeological sites, A-Z
CC;CC77.B8;Burial. Archaeothanatology
CC;CC77.C3;Cave
CC;CC77.C66;Community archaeology
CC;CC77.F67;Forest
CC;CC77.H5;Historical. Historical archaeology
CC;CC77.H68;Household archaeology
CC;CC77.I84;Islands
CC;CC77.J8;Jungle
CC;CC77.L35;Landscape archaeology
CC;CC77.M55;Military archaeology
CC;CC77.N36;Natural disasters
CC;CC77.S36;Salvage archaeology
CC;CC77.S5;Shell mounds
CC;CC77.U5;Underwater archaeology. Marine archaeology. Coastal archaeology
CC;CC77.U72;Urban archaeology
CC;CC77.W48;Wetlands
CC;CC77.5;Stratification. Archaeological geology
CC;CC78;General works
CC;CC78.3;Dendrochronology
CC;CC78.6;Carbon-14 method
CC;CC78.7;Hydration rind dating. Obsidian dating
CC;CC78.8;Thermoluminescence
CC;CC79.A-Z;Special methods borrowed from other disciplines, A-Z
CC;CC79.B56;Biochemistry. Biomolecular archaeology
CC;CC79.C5;Chemistry
CC;CC79.D46;Demography
CC;CC79.E37;Earth resistance
CC;CC79.E85;Ethnology. Ethnoarchaeology
CC;CC79.F67;Forensic archaeology
CC;CC79.G44;Geographic information systems
CC;CC79.G46;Geophysics
CC;CC79.I44;Imaging systems
CC;CC79.M33;Magnetometry
CC;CC79.M47;Metallurgy
CC;CC79.M55;Mineralogy
CC;CC79.P36;Parasitology. Paleoparasitology
CC;CC79.P4;Petrology
CC;CC79.P46;Photography. Photogrammetry
CC;CC79.P5;Physics
CC;CC79.R3;Radiography
CC;CC79.S33;Scanning electron microscopy
CC;CC79.S46;Semiotics
CC;CC79.S6;Soil analysis
CC;CC79.S63;Spatial analysis
CC;CC79.S65;Spectrum analysis
CC;CC79.S95;System analysis. Network science
CC;CC79.X73;X-ray spectroscopy
CC;CC79.3;Processing of the excavated remains
CC;CC79.5.A-Z;Remains of special materials, A-Z
CC;CC79.5.A5;Animal
CC;CC79.5.B37;Basketwork
CC;CC79.5.B57;Bird remains
CC;CC79.5.B64;Bone implements
CC;CC79.5.F53;Fibulas (Jewelry)
CC;CC79.5.H85;Human remains
CC;CC79.5.I94;Ivories
CC;CC79.5.J48;Jewelry
CC;CC79.5.M35;Marine mammals
CC;CC79.5.M65;Mollusks. Shells
CC;CC79.5.N6;Nonartifactual
CC;CC79.5.P5;Plant
CC;CC79.5.P58;Pollen
CC;CC79.5.P6;Pottery
CC;CC79.5.S76;Stone implements
CC;CC79.5.T48;Textile fabrics
CC;CC80;General works
CC;CC80.4;Data processing
CC;CC80.6;Quantitative methods. Statistical methods
CC;CC81;Environmental archaeology
CC;CC81.5;Experimental archaeology
CC;CC82;General works
CC;CC82.3;Drawings
CC;CC82.6;Report writing
CC;CC82.8;Information services
CC;CC82.9;Computer network resources
CC;CC83;General works
CC;CC85;General works
CC;CC85.Z9;Catalogs
CC;CC90;General works
CC;CC90.Z9;Catalogs
CC;CC95;United States
CC;CC97.A-Z;Other regions or countries, A-Z
CC;CC100;General works
CC;CC101.A-Z;By region or country, A-Z
CC;CC107;Archaeology as a profession
CC;CC110;Collective
CC;CC115.A-Z;Individual, A-Z
CC;CC120;General
CC;CC123;United States
CC;CC125.A-Z;Other regions or countries, A-Z
CC;CC135;General works
CC;CC136;Government encouragement and support
CC;CC137.A-Z;Special materials, A-Z
CC;CC137.C5;Clay tablets
CC;CC137.M48;Metal
CC;CC137.T4;Textile fibers
CC;CC137.W6;Wood
CC;CC138;Museum technique
CC;CC140;Forgeries of antiquities
CC;CC145;General works
CC;CC145.3.A-Z;By region or country, A-Z
CC;CC150;Dealers' catalogs
CC;CC160;Through 1800
CC;CC165;1801-
CC;CC168;Pictorial works
CC;CC171;Juvenile works
CC;CC173;Addresses, essays, lectures
CC;CC175;General special
CC;CC176;Extinct cities
CC;CC200;Through 1800
CC;CC205;1801-
CC;CC206.A-Z;Biography, A-Z
CC;CC207;Juvenile works
CC;CC208;General works
CC;CC209.A-Z;By region or state, A-Z
CC;CC210;General works
CC;CC212.A-Z;English counties, A-Z
CC;CC213.A-Z;English cities towns, etc., A-Z
CC;CC214;General works
CC;CC215.A-Z;Local, A-Z
CC;CC216;General works
CC;CC217.A-Z;Local, A-Z
CC;CC218;General works
CC;CC219.A-Z;Local, A-Z
CC;CC219.4;General works
CC;CC219.6.A-Z;Local, A-Z
CC;CC220;General works
CC;CC221.A-Z;Departments, regions, etc., A-Z
CC;CC222.A-Z;Cities, towns, etc., A-Z
CC;CC230;General works
CC;CC231.A-Z;States, A-Z
CC;CC232.A-Z;Cities, towns, etc., A-Z
CC;CC250.A-Z;Other regions or countries, A-Z
CC;CC253;Installation. Maintenance
CC;CC260;Cowbells
CC;CC300;Through 1800
CC;CC305;1801-
CC;CC310;General works
CC;CC312.A-Z;English counties, A-Z
CC;CC312.G5;Gloucestershire
CC;CC312.S3;Salop. Shropshire
CC;CC312.S5;Somerset
CC;CC313.A-Z;English cities, towns, etc., A-Z
CC;CC314;General works
CC;CC314.5.A-Z;Local, A-Z
CC;CC315;General works
CC;CC315.5.A-Z;Local, A-Z
CC;CC316;General works
CC;CC316.5.A-Z;Local, A-Z
CC;CC317;General works
CC;CC318.A-Z;Local, A-Z
CC;CC320;General works
CC;CC321.A-Z;Departments, regions, etc., A-Z
CC;CC322.A-Z;Cities, towns, etc., A-Z
CC;CC330;General works
CC;CC331.A-Z;States, A-Z
CC;CC332.A-Z;Cities, towns, etc., A-Z
CC;CC350.A-Z;Other regions or countries, A-Z
CC;CC600;General works
CC;CC605.A-Z;By region or country, A-Z
CC;CC700;General works
CC;CC705.A-Z;By region or country, A-Z
CC;CC710;Hill figures
CC;CC960;Lanterns of the dead
D;D1;Periodicals. Societies. Serials
D;D2;Registers
D;D2.5;General
D;D2.514.A-Z;Individual. By place, A-Z
D;D3.A15-.A19;Serials
D;D3.A2;Reports. By date
D;D3.A22;Works about the I.C.H.S.
D;D3.A3A-.A3Z;Other international, A-Z
D;D3.A4-Z;By region or country, A-Z
D;D5;General works
D;D5.5;Minor. Source books
D;D6;Several authors
D;D7;Individual authors
D;D8;Pamphlets, etc.
D;D9;Dictionaries
D;D10;Minor reference books (Anecdotes, curiosa, allusions, etc.)
D;D11;General works
D;D11.5;Special
D;D12;Pictorial atlases
D;D13;General works
D;D13.2;Criticism and reviews
D;D13.5.A-Z;By region or country, A-Z
D;D14;Collective
D;D15.A-Z;Individual, A-Z
D;D15.A25;Acton, John Emerich E.D.A., Baron
D;D15.B8;Burckhardt, Jakob Christoph
D;D15.R3;Ranke, Leopold von
D;D15.R6;Roscoe, William
D;D15.R7;Rotteck, Karl Wenzeslaus R., von
D;D16;General works
D;D16.115;Abstracting and indexing
D;D16.116;Aural history
D;D16.117;Computer network resources
D;D16.118;Counterfactuals. Imaginary histories
D;D16.12;Data processing
D;D16.127;Historical commissions
D;D16.13;Historiometry. Mathematical models
D;D16.135;Language
D;D16.138;Microhistory
D;D16.14;Oral history
D;D16.15;Periodization
D;D16.155;Photography
D;D16.16;Psychohistory
D;D16.163;Public history
D;D16.166;Social sciences and history
D;D16.168;Spatial history
D;D16.17;Statistical methods
D;D16.18;Television
D;D16.19;History as a profession
D;D16.2;General works
D;D16.25;General special
D;D16.255.A-Z;Special topics, A-Z
D;D16.255.A8;Audiovisual aids
D;D16.255.C65;Computer-assisted instruction
D;D16.255.S5;Simulation methods
D;D16.3;United States
D;D16.4.A-Z;Other regions or countries, A-Z
D;D16.5.A-Z;Schools. By name or place, A-Z
D;D16.7;Through 1800
D;D16.8;1801-
D;D16.9;Special topics
D;D17;Chronicles and works written before 1525
D;D18;Chronicles and works written from 1525-1800
D;D20;General works, 1801-
D;D21;Compends. Textbooks. Outlines. Syllabi. Questions
D;D21.1;Pictorial works
D;D21.3;General special
D;D21.5;Historical geography
D;D22;History of several countries treated together
D;D23;General popular works
D;D23.5;Comic and satirical works
D;D24;Historical events not restricted to one country or period
D;D24.5;Other
