classe;cote_range;description
N;N3430;Collective
N;N3455.A-Z;Other museums, A-Z
N;N3458;Collective
N;N3471.A-Z;Other, A-Z
N;N3474;Collective
N;N3485;Collective
N;N3486.A-Z;Special, A-Z
N;N3497;Villafranca de Panadés. Collective
N;N3499;Zamora. Disputación de Zamora
N;N3510;Collective
N;N3538;Collective
N;N3545.A-Z;Other, A-Z
N;N3610;Collective
N;N3610.5.A-Z;By region, A-Z
N;N3635;Collective
N;N3645;Collective
N;N3655.A-Z;Other Swiss museums. By city, A-Z
N;N3690.A-Z;Other European countries. By country and city, A-Z
N;N3700;Collective
N;N3710.A-Z;By region, A-Z
N;N3720;India. Collective
N;N3735;Japan. Collective
N;N3740.A-Z;Other Asian countries, A-Z
N;N3750.A-Z;Special museums of Asia. By city, etc., A-Z
N;N3800;Collective
N;N3810.A-Z;Special countries, A-Z
N;N3885.A-Z;Other museums of Africa. By city, etc., A-Z
N;N3890.A-Z;Indian Ocean islands. By city, A-Z
N;N3910;General
N;N3976;Collective
N;N3990.A-Z;Pacific islands. By city, A-Z
N;N3998;Art documentation
N;N3999;Provenance of art
N;N4000;General
N;N4010.A-Z;United States. By city and institution, A-Z
N;N4015.A-Z;Other countries. By country and city, A-Z
N;N4020.A-Z;United States. By collector, A-Z
N;N4025.A-Z;Other countries. By collector, A-Z
N;N4030;Select lists for libraries, etc.
N;N4035.A-Z;Trade catalogs. Catalogs of reproductions. By firm, A-Z
N;N4039;General
N;N4040.A-Z;Trade catalogs. By firm, A-Z
N;N4042.A-Z;Catalogs of public and private collections. By name of institution or collector, A-Z
N;N4390;Periodicals. Societies. Collections
N;N4392.A-Z;Documents. By country, A-Z
N;N4395;General works. History. Organization, etc.
N;N4396;General special
N;N4396.5;Art exhibition audiences
N;N4397;Miscellaneous. Essays, etc.
N;N4402;Aberdeen (Table N10)
N;N4405;Agra (Table N10)
N;N4407;Alexandria (Table N10)
N;N4410;Algiers (Table N10)
N;N4414;1859 (Table N10)
N;N4415;1869 (Table N10)
N;N4416;1883 (Table N10)
N;N4420;Before 1930 (Table N10)
N;N4421;Later (by date) (Table N10)
N;N4424;Athens (Table N10)
N;N4426;1881 (Table N10)
N;N4427;1895 (Table N10)
N;N4427.5;Later (by date) (Table N10)
N;N4429;Bahia (Table N10)
N;N4430;Baltimore (Table N10)
N;N4433;Barcelona (Table N10)
N;N4436;Basel (Table N10)
N;N4439;Batavia (Table N10)
N;N4440;Berlin (Table N10)
N;N4442;Bern (Table N10)
N;N4450;Birmingham (Table N10)
N;N4452;Bogotá (Table N10)
N;N4453;Bombay (Table N10)
N;N4456;Bordeaux (Aquitaine) (Table N10)
N;N4460;Boston (Table N10)
N;N4463;Brisbane (Table N10)
N;N4465;Brussels (Table N10)
N;N4475;Bucharest (Table N10)
N;N4478;Budapest (Table N10)
N;N4482;Buenos Aires (Table N10)
N;N4485;Buffalo (Table N10)
N;N4486;Burgos (Table N10)
N;N4488;Calcutta (Table N10)
N;N4491;Canton (Table N10)
N;N4494;Cape Town (Table N10)
N;N4495;Caracas (Table N10)
N;N4497;Charleston (Table N10)
N;N4499;1873 (Table N10)
N;N4500;1893 (Table N10)
N;N4501;1933-1934 (Table N10)
N;N4502;Later (by date) (Table N10)
N;N4515;1879 (Table N10)
N;N4516;1888 (Table N10)
N;N4517;Later (by date) (Table N10)
N;N4520;Cleveland (Table N10)
N;N4525;Constantinople (Table N10)
N;N4535;Copenhagen (Table N10)
N;N4536;Cordova (Table N10)
N;N4537;Cork (Table N10)
N;N4540;Curitiba (Table N10)
N;N4543;Dallas (Table N10)
N;N4545;Denver (Table N10)
N;N4550;Detroit (Table N10)
N;N4555;Dresden (Table N10)
N;N4560;Dublin (Table N10)
N;N4561;Duluth (Table N10)
N;N4565;Dunedin (Table N10)
N;N4570;Edinburgh (Table N10)
N;N4590;Florence (Table N10)
N;N4606;Geneva (Table N10)
N;N4610;Genoa (Table N10)
N;N4614;Ghent (Table N10)
N;N4618;Glasgow (Table N10)
N;N4619;Gratz (Table N10)
N;N4620;Guatemala (Table N10)
N;N4621;Haarlem (Table N10)
N;N4624;Hague (Table N10)
N;N4631;Hamburg (Table N10)
N;N4633;Hanoi (Table N10)
N;N4635;Havana (Table N10)
N;N4640;Hong Kong (Table N10)
N;N4645;Indianapolis (Table N10)
N;N4647;Ivano-Frankivsʹk (Table N10)
N;N4648;Jamestown (Table N10)
N;N4650;Johannesburg (Table N10)
N;N4655;Klagenfurt (Table N10)
N;N4660;Leeds (Table N10)
N;N4665;Leipzig (Table N10)
N;N4670;1905 (Table N10)
N;N4672;1939 (Table N10)
N;N4673;Later (by date) (Table N10)
N;N4675;Lima (Table N10)
N;N4681;Lisbon (Table N10)
N;N4684;Liverpool (Table N10)
N;N4690;1851 (Table N10)
N;N4691;1862 (Table N10)
N;N4695;1871 (Table N10)
N;N4697;1887 (Table N10)
N;N4700;Later (by date) (Table N10)
N;N4710;Lyons (Table N10)
N;N4715;Madrid (Table N10)
N;N4719;Manchester (Table N10)
N;N4723;Manila (Table N10)
N;N4727;Marseilles (Table N10)
N;N4730;1861 (Table N10)
N;N4731;1880-1881 (Table N10)
N;N4732;1888-1889 (Table N10)
N;N4733;Later (by date) (Table N10)
N;N4739;Memphis (Table N10)
N;N4742;Mexico (Table N10)
N;N4745;Milwaukee (Table N10)
N;N4748;Minneapolis (Table N10)
N;N4752;Montreal (Table N10)
N;N4757;Moscow (Table N10)
N;N4762;Munich (Table N10)
N;N4766;Nagasaki (Table N10)
N;N4770;Nanking (Table N10)
N;N4773;Naples (Table N10)
N;N4775;Nashville (Table N10)
N;N4777;New Orleans (Table N10)
N;N4783;1853-1854 (Table N10)
N;N4784;Later (by date) (Table N10)
N;N4793;Odessa (Table N10)
N;N4796;Omaha (Table N10)
N;N4796.5;Osaka (Table N10)
N;N4797;Oslo (Christiania) (Table N10)
N;N4799;Before 1855 (Table N10)
N;N4800;1855 (Table N10)
N;N4801;1867 (Table N10)
N;N4802;1878 (Table N10)
N;N4803;1889 (Table N10)
N;N4804;1900 (Table N10)
N;N4805;1937 (Table N10)
N;N4806;Later (by date) (Table N10)
N;N4820;Peking (Table N10)
N;N4825;Philadelphia, 1876 (Table N10)
N;N4828;Pisa (Table N10)
N;N4830;Pittsburgh (Table N10)
N;N4834;Portland, Oreg. (Table N10)
N;N4836;Prague (Table N10)
N;N4840;Rio de Janeiro (Table N10)
N;N4850;Rome (Table N10)
N;N4860;St. Louis (Table N10)
N;N4865;St. Paul (Table N10)
N;N4868;St. Petersburg (Table N10)
N;N4873;1915 (Table N10)
N;N4873.2;1935 (Table N10)
N;N4873.3;Later (by date) (Table N10)
N;N4874;1915 (Table N10)
N;N4875;1939 (Table N10)
N;N4875.5;Later (by date) (Table N10)
