classe;cote_range;description
PN;PN56.H563;Homesickness
PN;PN56.H57;Homosexuality
PN;PN56.H58;Honor
PN;PN56.H585;Hope
PN;PN56.H59;Horizon
PN;PN56.H6;Horror
PN;PN56.H63;Horses and horsemen
PN;PN56.H66;Hospitality
PN;PN56.H68;Hotels
PN;PN56.H75;Human body and technology
PN;PN56.H76;Human ecology
PN;PN56.H79;Human rights
PN;PN56.H82;Human sacrifice
PN;PN56.H825;Humanism
PN;PN56.H826;Humanity
PN;PN56.H83;Humor
PN;PN56.H835;Hunger
PN;PN56.H84;Hunting
PN;PN56.H93;Hybridity (Social sciences)
PN;PN56.I4;Idealism
PN;PN56.I42;Identity (Psychology)
PN;PN56.I424;Idols and images
PN;PN56.I426;Ignorance (Theory of knowledge)
PN;PN56.I43;Illusion
PN;PN56.I44;Imaginary places
PN;PN56.I45;Imagination
PN;PN56.I455;Immortality
PN;PN56.I46;Imperfection
PN;PN56.I465;Imperialism
PN;PN56.I47;Impersonation in literature
PN;PN56.I475;Implements, utensils, etc.
PN;PN56.I48;Implication (Logic)
PN;PN56.I49;Impostors and imposture
PN;PN56.I5;Impressionism
PN;PN56.I55;Incest
PN;PN56.I57;Individualism. Individuation
PN;PN56.I58;Industry
PN;PN56.I59;Ineffable
PN;PN56.I593;Influence (Literary, artistic, etc.)
PN;PN56.I594;Infrastructure (Economics)
PN;PN56.I595;Innocence
PN;PN56.I63;Insects
PN;PN56.I635;Internalization
PN;PN56.I64;Internet
PN;PN56.I6445;Intimacy (Psychology)
PN;PN56.I645;Intrigue
PN;PN56.I648;Invective
PN;PN56.I65;Irony
PN;PN56.I7;Islands
PN;PN56.J38;Jazz
PN;PN56.J43;Jealousy
PN;PN56.J68;Journalism
PN;PN56.J87;Justice
PN;PN56.K52;Kindness
PN;PN56.K53;Kings and rulers
PN;PN56.K54;Kissing
PN;PN56.K62;Knowledge
PN;PN56.K65;Korean War, 1950-1953
PN;PN56.K66;Kosovo, Battle of, 1389
PN;PN56.K73;Kraken
PN;PN56.L22;Labor. Working classes
PN;PN56.L223;Labyrinths
PN;PN56.L24;Lakes
PN;PN56.L25;Lameness
PN;PN56.L26;Landscape
PN;PN56.L27;Language and languages
PN;PN56.L3;Laughter
PN;PN56.L33;Law
PN;PN56.L38;Laziness
PN;PN56.L39;Leadership
PN;PN56.L4;Leisure
PN;PN56.L45;Lesbianism
PN;PN56.L47;Liberty
PN;PN56.L48;Libraries
PN;PN56.L52;Life cycle, Human
PN;PN56.L53;Light and darkness
PN;PN56.L535;Liminality
PN;PN56.L537;Lingering
PN;PN56.L54;Lists
PN;PN56.L55;Local color
PN;PN56.L56;Loneliness
PN;PN56.L58;Loss (Psychology)
PN;PN56.L6;Love. Lovesickness
PN;PN56.M2;Machinery
PN;PN56.M23;Magic
PN;PN56.M24;Magic realism
PN;PN56.M25;Man
PN;PN56.M255;Man-woman relationships
PN;PN56.M26;Manners and customs
PN;PN56.M265;Maps
PN;PN56.M27;Marginality, Social
PN;PN56.M28;Marriage
PN;PN56.M29;Martyrdom
PN;PN56.M3;The Marvelous, miracles, wonders, etc.
PN;PN56.M316;Masculinity
PN;PN56.M318;Masks
PN;PN56.M32;Masochism
PN;PN56.M33;Masquerades
PN;PN56.M34;Massacres
PN;PN56.M348;Material culture
PN;PN56.M35;Materialism
PN;PN56.M36;Mathematics
PN;PN56.M37;Meaning (Philosophy)
PN;PN56.M376;Mediation
PN;PN56.M38;Medicine
PN;PN56.M4;Melancholy
PN;PN56.M44;Memory
PN;PN56.M45;Mental illness
PN;PN56.M48;Mentoring
PN;PN56.M515;Mercy
PN;PN56.M52;Mesmerism
PN;PN56.M525;Messianism
PN;PN56.M53;Metamorphosis
PN;PN56.M532;Metaphysics
PN;PN56.M533;Mexican Revolution, 1910-1920
PN;PN56.M534;Middle Ages
PN;PN56.M535;Middle class
PN;PN56.M536;Mimesis
PN;PN56.M5363;Miniature dolls
PN;PN56.M537;Mirrors
PN;PN56.M5375;Mise en abyme
PN;PN56.M538;Misogyny
PN;PN56.M5385;Missing persons
PN;PN56.M54;Modernism (Literature)
PN;PN56.M547;Money
PN;PN56.M55;Monsters
PN;PN56.M57;Mood (Psychology)
PN;PN56.M58;Moon
PN;PN56.M59;Moral conditions
PN;PN56.M68;Mothers-in-law
PN;PN56.M7;Mountains
PN;PN56.M8;Multiculturalism
PN;PN56.M85;Murder
PN;PN56.M86;Museums
PN;PN56.M87;Music in literature
PN;PN56.M94;Myth
PN;PN56.M95;Mythology
PN;PN56.N16;Names
PN;PN56.N18;Narcotics
PN;PN56.N188;National characteristics
PN;PN56.N19;Nationalism
PN;PN56.N35;Negation (Logic)
PN;PN56.N36;Negritude (Literary movement)
PN;PN56.N4;Neuroses
PN;PN56.N5;Night
PN;PN56.N55;Nihilism
PN;PN56.N6;"""No"" as a literary motif"
PN;PN56.N63;Nobility of character
PN;PN56.N65;North and south
PN;PN56.N67;Nose
PN;PN56.N68;Nostalgia
PN;PN56.N69;Nothingness
PN;PN56.N83;Nuclear warfare
PN;PN56.N86;Numbers
PN;PN56.O33;Occultism. Occult sciences
PN;PN56.O4;Old age
PN;PN56.O58;Optical instruments
PN;PN56.O63;Oracles
PN;PN56.O66;Order
PN;PN56.O667;Organ (Musical instrument)
PN;PN56.O67;Originality
PN;PN56.O69;Other (Philosophy)
PN;PN56.O7;Otherworld
PN;PN56.P22;Paganism
PN;PN56.P23;Parables
PN;PN56.P25;Paradise
PN;PN56.P255;Parent and child
PN;PN56.P26;Parody
PN;PN56.P27;Parrots
PN;PN56.P28;Parties
PN;PN56.P3;Pastoral literature
PN;PN56.P32;Paternity
PN;PN56.P35;Peace
PN;PN56.P37;Peasants
PN;PN56.P372;Perception
PN;PN56.P373;Perfumes
PN;PN56.P374;Periodization
PN;PN56.P377;Personal space
PN;PN56.P38;Personification
PN;PN56.P4;Pessimism
PN;PN56.P46;Photography
PN;PN56.P48;Physiognomy
PN;PN56.P49;Place (Philosophy)
PN;PN56.P5;Plague
PN;PN56.P52;Plants
PN;PN56.P53;Play
PN;PN56.P534;Pleasure
PN;PN56.P54;Polish Revolution, 1830-1832
PN;PN56.P547;Popular culture
PN;PN56.P55;Popular literature
PN;PN56.P555;Postcolonialism
PN;PN56.P556;Posthumanism
PN;PN56.P56;Poverty
PN;PN56.P57;Power (Social sciences)
PN;PN56.P58;Prayer
PN;PN56.P6;Pride
PN;PN56.P7;Primitivism
PN;PN56.P72;Prisons
PN;PN56.P73;Privacy
PN;PN56.P74;Progressivism
PN;PN56.P7425;Promiscuity
PN;PN56.P743;Property
PN;PN56.P744;Prophecies
PN;PN56.P75;Proverbs
PN;PN56.P9;Psychiatry
PN;PN56.P914;Psychic trauma
PN;PN56.P92;Psychoanalysis
PN;PN56.P93;Psychology
PN;PN56.P95;Public health
PN;PN56.P96;Pulp literature
PN;PN56.P97;Punishment
PN;PN56.P975;Puppets
PN;PN56.P977;Purity (Philosophy)
PN;PN56.R16;Race
PN;PN56.R18;Racism
PN;PN56.R22;Railroads
PN;PN56.R24;Rape
PN;PN56.R27;Rats
PN;PN56.R3;Realism. Naturalism
PN;PN56.R32;Reality
PN;PN56.R33;Recognition. Anagnorisis
PN;PN56.R34;Reconciliation
PN;PN56.R344;Reference
PN;PN56.R35;Refuge
PN;PN56.R36;Refuse and refuse disposal
PN;PN56.R37;Regeneration
PN;PN56.R45;Repetition
PN;PN56.R46;Resignation
PN;PN56.R465;Respiration
PN;PN56.R47;Resurrection
PN;PN56.R475;Return
PN;PN56.R48;Revenge
PN;PN56.R49;Revolutions
PN;PN56.R52;Riddles
PN;PN56.R54;Risk-taking
PN;PN56.R55;Rites and ceremonies
PN;PN56.R555;Rivers
PN;PN56.R56;Robots
PN;PN56.R58;Roman charity
PN;PN56.R6;Romance
PN;PN56.R7;Romanticism
PN;PN56.R73;Rooms
PN;PN56.R75;Roses
PN;PN56.R87;Ruins
PN;PN56.R93;Russo-Turkish War, 1877-1878
PN;PN56.S25;Sacrifice
PN;PN56.S32;Salt
PN;PN56.S34;Salvation
PN;PN56.S36;Scandals
PN;PN56.S4;Sea
PN;PN56.S42;Seashore
PN;PN56.S43;Secrecy
PN;PN56.S45;Seduction
PN;PN56.S46;Self-knowledge
PN;PN56.S465;Self-presentation
PN;PN56.S466;Self-realization
PN;PN56.S47;Senses and sensation
PN;PN56.S474;Sensuality
PN;PN56.S475;Sentimentalism
PN;PN56.S48;Setting
PN;PN56.S49;Seven (The number)
PN;PN56.S5;Sex
PN;PN56.S516;Sex crimes
PN;PN56.S52;Sex differences
PN;PN56.S53;Sexual deviation
PN;PN56.S536;Shades and shadows
PN;PN56.S538;Shame
PN;PN56.S539;Ships
PN;PN56.S54;Shipwrecks
PN;PN56.S545;Shtetls
PN;PN56.S55;Silence
PN;PN56.S56;Sin
PN;PN56.S57;Sincerity
PN;PN56.S574;Sirens (Mythology)
PN;PN56.S576;Skepticism
PN;PN56.S5762;Skin
PN;PN56.S5765;Slavery
PN;PN56.S577;Sleep
PN;PN56.S58;Smoking
PN;PN56.S6;Snobs and snobbishness
PN;PN56.S62;Snow
PN;PN56.S635;Soccer
PN;PN56.S64;Social classes
PN;PN56.S65;Social conflict. Social problems
PN;PN56.S654;Social structure
PN;PN56.S66;Socialist realism
PN;PN56.S665;Solitude
PN;PN56.S666;Soul mates
PN;PN56.S6665;Sound
PN;PN56.S667;Space
PN;PN56.S67;Spanish Civil War
PN;PN56.S685;Speech disorders
PN;PN56.S69;Speed
PN;PN56.S697;Spirit possession
PN;PN56.S7;Spirituality
PN;PN56.S73;Sports
PN;PN56.S735;Stars
PN;PN56.S7357;Storytelling
PN;PN56.S7358;Strategy
PN;PN56.S7359;Streets
PN;PN56.S736;Striptease
PN;PN56.S737;Stupidity
PN;PN56.S74;Subconsciousness
PN;PN56.S7414;Subjectivity
PN;PN56.S7416;Sublime, The
PN;PN56.S7418;Suburbs
PN;PN56.S742;Suffering
PN;PN56.S744;Suicide
PN;PN56.S746;Sun
PN;PN56.S747;Sunday
PN;PN56.S75;Superficiality
PN;PN56.S78;Superman (Philosophical concept)
PN;PN56.S8;Supernatural
PN;PN56.S87;Surrealism
PN;PN56.S875;Survival
PN;PN56.S88;Suspense
PN;PN56.S9;Symbolism
PN;PN56.S94;Sympathy
PN;PN56.S95;Synesthesia
PN;PN56.S96;Syphilis
PN;PN56.T23;Taboo
PN;PN56.T27;Tattooing
PN;PN56.T34;Tea
PN;PN56.T37;Technology
PN;PN56.T4;Teeth
PN;PN56.T44;Telchines (Greek mythology)
PN;PN56.T4426;Telephone
PN;PN56.T443;Television
PN;PN56.T445;Tennis
PN;PN56.T45;Terrorism
PN;PN56.T46;Theater
PN;PN56.T47;Theodicy
PN;PN56.T5;Time
PN;PN56.T55;Tolerance
PN;PN56.T62;Torture
PN;PN56.T64;Totalitarianism
PN;PN56.T66;Touch
PN;PN56.T68;The tragic
PN;PN56.T685;Transnationalism
PN;PN56.T687;Transplantation of organs, tissues, etc.
PN;PN56.T69;Transvestism. Cross-dressing
PN;PN56.T7;Travel
PN;PN56.T73;Trephining
PN;PN56.T74;Trials
PN;PN56.T76;Trojan War
PN;PN56.T77;Trust
PN;PN56.T78;Truthfulness and falsehood
PN;PN56.T82;Tuberculosis
PN;PN56.U37;Ugliness
PN;PN56.U43;Umbrellas
PN;PN56.U52;Underground areas
PN;PN56.U54;Universities and colleges
PN;PN56.U8;Utopias
PN;PN56.V26;Vagina
PN;PN56.V28;Values
PN;PN56.V3;Vampires
PN;PN56.V44;Veils
PN;PN56.V46;Vertigo
PN;PN56.V5;Vienna. Universität
PN;PN56.V53;Violence
PN;PN56.V54;Visual literature
PN;PN56.V543;Visual perception
PN;PN56.V544;Visualization
PN;PN56.V55;Voice
PN;PN56.V56;Volcanoes
PN;PN56.V57;Vortex-motion
PN;PN56.V59;Voyages, Imaginary
PN;PN56.V6;Voyages, Interplanetary
PN;PN56.V65;Voyeurism
PN;PN56.V85;Vulnerability (Personality trait)
PN;PN56.W215;Waiting (Philosophy)
PN;PN56.W22;Walking
PN;PN56.W3;War
PN;PN56.W326;War on Terrorism, 2001-2009
PN;PN56.W34;Water
PN;PN56.W37;Water spirits
PN;PN56.W38;Waves
PN;PN56.W39;Wayfaring lfe
PN;PN56.W4;Wealth
PN;PN56.W43;Weather
PN;PN56.W45;Werewolves
PN;PN56.W47;Windows
PN;PN56.W49;Winds
PN;PN56.W5;Wine
PN;PN56.W54;Wisdom
PN;PN56.W59;Wolves
PN;PN56.W64;Wonder
PN;PN56.W65;Work
PN;PN56.W66;World War, 1914-1918
PN;PN56.W67;Worldliness
PN;PN56.W68;Worms
PN;PN56.W69;Worry
PN;PN56.Z44;Zen Buddhism
PN;PN56.Z55;Zionism
PN;PN56.Z66;Zombies
PN;PN56.3.A-Z;Regions, countries, cities, ethnic groups, and races, A-Z
PN;PN56.3.A37;Adriatic Sea region
PN;PN56.3.A39;Africa
PN;PN56.3.A42;Alexandria (Egypt)
PN;PN56.3.A43;Algeria
PN;PN56.3.A45;America
PN;PN56.3.A65;Arctic regions
PN;PN56.3.A7;Argentina
PN;PN56.3.A75;Armenia
PN;PN56.3.A9;Australia
PN;PN56.3.A93;Austria
PN;PN56.3.B24;Babylon (Extinct city)
PN;PN56.3.B3;Basques. Basque provinces
PN;PN56.3.B4;Berlin
PN;PN56.3.B55;Black people
PN;PN56.3.B84;Bulgaria
PN;PN56.3.C34;Campania (Italy)
PN;PN56.3.C35;Canada
PN;PN56.3.C37;Capri Island (Italy)
PN;PN56.3.C58;Chile
PN;PN56.3.C6;China
PN;PN56.3.C67;Corsica (France)
PN;PN56.3.C83;Cuba
PN;PN56.3.D35;Dagestan (Russia)
PN;PN56.3.D48;Developing countries
PN;PN56.3.E35;Earth (Planet)
PN;PN56.3.E37;East Asia
PN;PN56.3.E84;Ethiopia
PN;PN56.3.E85;Europe
PN;PN56.3.F53;Flanders
PN;PN56.3.F56;Florence
PN;PN56.3.G3;Georgia (Transcaucasia)
PN;PN56.3.G6;Goths
PN;PN56.3.G69;Greece
PN;PN56.3.H35;Haiti
PN;PN56.3.I57;India
PN;PN56.3.I6;Indians
PN;PN56.3.I74;Istanbul (Turkey)
PN;PN56.3.I76;Italy
PN;PN56.3.J37;Jerusalem
PN;PN56.3.J4;Jews
PN;PN56.3.K3;Karelia
PN;PN56.3.K67;Korea
PN;PN56.3.L29;Latin America
PN;PN56.3.L4;Leningrad
PN;PN56.3.L56;Lithuania
PN;PN56.3.L89;Luxembourg
PN;PN56.3.M35;Malta
PN;PN56.3.M38;Mauritius
PN;PN56.3.M4;Mediterranean Region
PN;PN56.3.M45;Mérida (Spain)
PN;PN56.3.M47;Mexico
PN;PN56.3.M67;Morlaks
PN;PN56.3.N37;Naples (Italy)
PN;PN56.3.O74;Orient
PN;PN56.3.P38;Patagonia (Argentina and Chile)
PN;PN56.3.P66;Pompeii (Extinct city)
PN;PN56.3.P73;Prague (Czech Republic)
PN;PN56.3.R33;Rabat (Morocco)
PN;PN56.3.R58;Romanies
PN;PN56.3.R6;Rome
PN;PN56.3.S47;Sephardim
PN;PN56.3.S53;Sicily
PN;PN56.3.S56;Sinaloa (Mexico : State)
PN;PN56.3.S67;Soviet Union
PN;PN56.3.S7;Spain
PN;PN56.3.T34;Tahiti
PN;PN56.3.T36;Tangier (Morocco)
PN;PN56.3.T87;Turkey
PN;PN56.3.U5;United States
PN;PN56.3.V4;Venice
PN;PN56.3.V47;Ventoux Mountain (France)
PN;PN56.3.V48;Verona (Italy)
PN;PN56.3.V55;Vilnius
PN;PN56.3.W45;White people
PN;PN56.4;General works
PN;PN56.5.A-Z;Special classes of people, A-Z
PN;PN56.5.A33;Accountants
PN;PN56.5.A346;Addicts
PN;PN56.5.A35;Adolescent girls
PN;PN56.5.A64;Apprentices
PN;PN56.5.A78;Artists
PN;PN56.5.A84;Authors
PN;PN56.5.B44;Beggars
PN;PN56.5.B73;Brigands and robbers
PN;PN56.5.B74;Brothers and sisters
PN;PN56.5.B88;Businessmen
PN;PN56.5.C48;Children
PN;PN56.5.C5;Clergy
PN;PN56.5.C65;Comic characters
PN;PN56.5.D32;Dancers
PN;PN56.5.D34;Dandies
PN;PN56.5.D53;Dictators
PN;PN56.5.D82;Dwarfs (Persons)
PN;PN56.5.E96;Exiles
PN;PN56.5.F38;Fathers
